ns:base.column.column.author_of_column	ns:base.column.column	ns:base.column.column_author_duration
ns:interests.collectable_item.collection_category	ns:interests.collectable_item	ns:interests.collection_category
ns:language.conlang.created_by	ns:language.conlang	ns:language.language_creator
ns:base.localfood.produce.availability..base.localfood.produce_availability.location	ns:base.localfood.produce	ns:base.localfood.food_producing_region
ns:film.content_rating.country	ns:film.content_rating	ns:location.country
ns:user.denny.default_domain.role_playing_game.publisher	ns:user.denny.default_domain.role_playing_game	ns:book.publishing_company
ns:base.conservation.conservation_list.status_designation	ns:base.conservation.conservation_list	ns:base.conservation.conservation_status_designation
ns:user.robert.roman_empire.roman_emperor_title.emperors_with_this_title	ns:user.robert.roman_empire.roman_emperor_title	ns:user.robert.roman_empire.roman_emperor
ns:film.film_featured_song.performed_by	ns:film.film_featured_song	ns:music.artist
ns:base.conservationaction.participation_group.participants..base.conservationaction.participation.person	ns:base.conservationaction.participation_group	ns:base.conservationaction.participant
ns:conferences.type_of_conference.conferences_of_this_type	ns:conferences.type_of_conference	ns:conferences.conference_series
ns:celebrities.celebrity.net_worth..measurement_unit.dated_money_value.source	ns:celebrities.celebrity	ns:dataworld.information_source
ns:film.film_distributor.films_distributed..film.film_film_distributor_relationship.film	ns:film.film_distributor	ns:film.film
ns:music.recording.song	ns:music.recording	ns:music.composition
ns:religion.religious_leadership_jurisdiction.organisation	ns:religion.religious_leadership_jurisdiction	ns:religion.religious_organization
ns:base.crime.convicted_criminal.convictions..base.crime.criminal_conviction.guilty_of	ns:base.crime.convicted_criminal	ns:base.fight.crime_type
ns:base.coinsdaily.coin_type.successor_coin_type	ns:base.coinsdaily.coin_type	ns:base.coinsdaily.coin_type
ns:comic_books.comic_book_genre.comic_book_series_in_this_genre	ns:comic_books.comic_book_genre	ns:comic_books.comic_book_series
ns:soccer.football_player.loans..soccer.football_player_loan.borrowing_team	ns:soccer.football_player	ns:soccer.football_team
ns:broadcast.tv_channel.cable_availability..broadcast.cable_satellite_availability.provider	ns:broadcast.tv_channel	ns:business.business_operation
ns:common.topic.webpage..common.webpage.resource	ns:common.topic	ns:common.resource
ns:comic_books.comic_book_creator.characters_created	ns:comic_books.comic_book_creator	ns:comic_books.comic_book_character
ns:comic_books.comic_book_issue.part_of_series	ns:comic_books.comic_book_issue	ns:comic_books.comic_book_series
ns:user.coco.science.concepts_theories.collaborators	ns:user.coco.science.concepts_theories	ns:people.person
